Country,Demonym (Male),Demonym (Female)
South Georgia,South Georgian South Sandwich Islander,South Georgian South Sandwich Islander
Grenada,Grenadian,Grenadian
Switzerland,Swiss,Swiss
Sierra Leone,Sierra Leonean,Sierra Leonean
Hungary,Hungarian,Hungarian
Taiwan,Taiwanese,Taiwanese
Wallis and Futuna,Wallis and Futuna Islander,Wallis and Futuna Islander
Barbados,Barbadian,Barbadian
Pitcairn Islands,Pitcairn Islander,Pitcairn Islander
Ivory Coast,Ivorian,Ivorian
Tunisia,Tunisian,Tunisian
Italy,Italian,Italian
Benin,Beninese,Beninese
Indonesia,Indonesian,Indonesian
Cape Verde,Cape Verdian,Cape Verdian
Saint Kitts and Nevis,Kittitian or Nevisian,Kittitian or Nevisian
Laos,Laotian,Laotian
Caribbean Netherlands,Dutch,Dutch
Uganda,Ugandan,Ugandan
Andorra,Andorran,Andorran
Burundi,Burundian,Burundian
South Africa,South African,South African
France,French,French
Libya,Libyan,Libyan
Mexico,Mexican,Mexican
Gabon,Gabonese,Gabonese
Northern Mariana Islands,American,American
North Macedonia,Macedonian,Macedonian
China,Chinese,Chinese
Yemen,Yemeni,Yemeni
Saint Barthélemy,Saint Barthélemy Islander,Saint Barthélemy Islander
Guernsey,Channel Islander,Channel Islander
Solomon Islands,Solomon Islander,Solomon Islander
Svalbard and Jan Mayen,Norwegian,Norwegian
Faroe Islands,Faroese,Faroese
Uzbekistan,Uzbekistani,Uzbekistani
Egypt,Egyptian,Egyptian
Senegal,Senegalese,Senegalese
Sri Lanka,Sri Lankan,Sri Lankan
Palestine,Palestinian,Palestinian
Bangladesh,Bangladeshi,Bangladeshi
Peru,Peruvian,Peruvian
Singapore,Singaporean,Singaporean
Turkey,Turkish,Turkish
Afghanistan,Afghan,Afghan
Aruba,Aruban,Aruban
Cook Islands,Cook Islander,Cook Islander
United Kingdom,British,British
Zambia,Zambian,Zambian
Finland,Finnish,Finnish
Niger,Nigerien,Nigerien
Christmas Island,Christmas Islander,Christmas Islander
Tokelau,Tokelauan,Tokelauan
Guinea-Bissau,Guinea-Bissauan,Guinea-Bissauan
Azerbaijan,Azerbaijani,Azerbaijani
Réunion,Réunionese,Réunionese
Djibouti,Djibouti,Djibouti
North Korea,North Korean,North Korean
Mauritius,Mauritian,Mauritian
Montserrat,Montserratian,Montserratian
United States Virgin Islands,Virgin Islander,Virgin Islander
Colombia,Colombian,Colombian
Greece,Greek,Greek
Croatia,Croatian,Croatian
Morocco,Moroccan,Moroccan
Algeria,Algerian,Algerian
Antarctica,Antarctican,Antarctican
Netherlands,Dutch,Dutch
Sudan,Sudanese,Sudanese
Fiji,Fijian,Fijian
Liechtenstein,Liechtensteiner,Liechtensteiner
Nepal,Nepalese,Nepalese
Puerto Rico,Puerto Rican,Puerto Rican
Georgia,Georgian,Georgian
Pakistan,Pakistani,Pakistani
Monaco,Monegasque,Monegasque
Botswana,Motswana,Motswana
Lebanon,Lebanese,Lebanese
Papua New Guinea,Papua New Guinean,Papua New Guinean
Mayotte,Mahoran,Mahoran
